budget,accuracy_A,failures_A,accuracy_B,failures_B,accuracy_C,failures_C
50,0.94,3,1.0,0,0.98,1
50,0.82,9,0.94,3,0.9,5
50,0.92,4,0.92,4,0.96,2
50,0.9,5,0.92,4,0.98,1
50,0.92,4,1.0,0,0.9,5
50,0.9,5,0.9,5,0.94,3
50,0.86,7,0.96,2,0.9,5
50,0.88,6,0.88,6,0.92,4
50,0.98,1,0.94,3,0.9,5
50,0.96,2,0.96,2,0.94,3
50,0.92,4,0.96,2,0.9,5
50,0.96,2,0.98,1,0.94,3
50,0.96,2,0.96,2,0.94,3
50,0.92,4,0.98,1,0.96,2
50,0.92,4,1.0,0,0.88,6
50,0.84,8,0.9,5,0.9,5
50,0.88,6,0.94,3,0.96,2
50,0.82,9,0.94,3,0.88,6
50,0.96,2,0.96,2,0.96,2
50,0.92,4,0.96,2,0.94,3
50,0.9,5,0.96,2,0.88,6
50,0.92,4,0.9,5,0.88,6
50,0.88,6,0.96,2,0.92,4
50,0.88,6,0.94,3,0.94,3
50,0.88,6,0.96,2,0.88,6
50,0.86,7,0.92,4,0.92,4
50,0.92,4,0.92,4,0.9,5
50,0.96,2,0.98,1,0.92,4
50,0.84,8,0.94,3,0.9,5
50,0.84,8,0.94,3,0.94,3
100,0.88,12,0.96,4,0.95,5
100,0.87,13,0.95,5,0.91,9
100,0.88,12,0.88,12,0.94,6
100,0.91,9,0.94,6,0.94,6
100,0.94,6,0.98,2,0.93,7
100,0.89,11,0.93,7,0.95,5
100,0.89,11,0.96,4,0.91,9
100,0.86,14,0.9,10,0.93,7
100,0.92,8,0.93,7,0.93,7
100,0.93,7,0.97,3,0.96,4
100,0.92,8,0.93,7,0.93,7
100,0.92,8,0.97,3,0.9,10
100,0.89,11,0.95,5,0.95,5
100,0.92,8,0.97,3,0.97,3
100,0.9,10,0.96,4,0.89,11
100,0.86,14,0.92,8,0.92,8
100,0.88,12,0.96,4,0.93,7
100,0.83,17,0.95,5,0.87,13
100,0.91,9,0.96,4,0.92,8
100,0.94,6,0.97,3,0.93,7
100,0.88,12,0.97,3,0.94,6
100,0.91,9,0.92,8,0.9,10
100,0.89,11,0.94,6,0.93,7
100,0.9,10,0.95,5,0.94,6
100,0.89,11,0.96,4,0.91,9
100,0.86,14,0.92,8,0.92,8
100,0.89,11,0.92,8,0.85,15
100,0.95,5,0.98,2,0.94,6
100,0.85,15,0.94,6,0.91,9
100,0.84,16,0.95,5,0.96,4
200,0.9,20,0.965,7,0.945,11
200,0.875,25,0.94,12,0.925,15
200,0.91,18,0.915,17,0.96,8
200,0.895,21,0.94,12,0.915,17
200,0.915,17,0.95,10,0.945,11
200,0.84,32,0.945,11,0.94,12
200,0.895,21,0.93,14,0.9,20
200,0.865,27,0.92,16,0.925,15
200,0.905,19,0.93,14,0.95,10
200,0.91,18,0.975,5,0.95,10
200,0.925,15,0.94,12,0.945,11
200,0.93,14,0.96,8,0.91,18
200,0.9,20,0.96,8,0.93,14
200,0.91,18,0.955,9,0.915,17
200,0.895,21,0.96,8,0.91,18
200,0.87,26,0.945,11,0.93,14
200,0.875,25,0.965,7,0.925,15
200,0.885,23,0.95,10,0.885,23
200,0.9,20,0.94,12,0.91,18
200,0.885,23,0.955,9,0.9,20
200,0.9,20,0.95,10,0.93,14
200,0.92,16,0.93,14,0.925,15
200,0.86,28,0.945,11,0.935,13
200,0.905,19,0.955,9,0.93,14
200,0.89,22,0.96,8,0.92,16
200,0.865,27,0.93,14,0.935,13
200,0.895,21,0.94,12,0.885,23
200,0.91,18,0.965,7,0.94,12
200,0.895,21,0.955,9,0.915,17
200,0.86,28,0.92,16,0.955,9
400,0.88,48,0.96,16,0.93,28
400,0.8975,41,0.9525,19,0.9225,31
400,0.905,38,0.935,26,0.9425,23
400,0.9,40,0.945,22,0.9175,33
400,0.905,38,0.9475,21,0.9475,21
400,0.8675,53,0.955,18,0.9325,27
400,0.8775,49,0.9375,25,0.925,30
400,0.8725,51,0.935,26,0.9325,27
400,0.905,38,0.9225,31,0.9375,25
400,0.9025,39,0.96,16,0.92,32
400,0.9,40,0.9425,23,0.9275,29
400,0.91,36,0.94,24,0.93,28
400,0.89,44,0.9525,19,0.9125,35
400,0.8775,49,0.9525,19,0.93,28
400,0.885,46,0.9425,23,0.915,34
400,0.8625,55,0.9475,21,0.935,26
400,0.865,54,0.9575,17,0.93,28
400,0.8925,43,0.945,22,0.9225,31
400,0.895,42,0.935,26,0.915,34
400,0.895,42,0.9575,17,0.9025,39
400,0.8975,41,0.945,22,0.9275,29
400,0.91,36,0.9275,29,0.93,28
400,0.89,44,0.95,20,0.9325,27
400,0.9075,37,0.95,20,0.935,26
400,0.875,50,0.9625,15,0.9275,29
400,0.8825,47,0.935,26,0.9275,29
400,0.8875,45,0.945,22,0.9,40
400,0.89,44,0.965,14,0.9475,21
400,0.9025,39,0.94,24,0.9325,27
400,0.8725,51,0.93,28,0.945,22
800,0.8825,94,0.94375,45,0.92625,59
800,0.90625,75,0.96375,29,0.9325,54
800,0.89625,83,0.94375,45,0.92,64
800,0.9025,78,0.945,44,0.925,60
800,0.90625,75,0.93875,49,0.935,52
800,0.88125,95,0.9575,34,0.92375,61
800,0.87875,97,0.93875,49,0.93625,51
800,0.87625,99,0.9425,46,0.92625,59
800,0.90875,73,0.9325,54,0.93625,51
800,0.90875,73,0.93875,49,0.935,52
800,0.89875,81,0.9475,42,0.93125,55
800,0.8975,82,0.93125,55,0.935,52
800,0.8975,82,0.95,40,0.92125,63
800,0.885,92,0.94625,43,0.9375,50
800,0.9,80,0.9475,42,0.9175,66
800,0.87625,99,0.9325,54,0.92625,59
800,0.88875,89,0.94625,43,0.94375,45
800,0.8975,82,0.9525,38,0.9325,54
800,0.90375,77,0.9375,50,0.9275,58
800,0.905,76,0.94875,41,0.9125,70
800,0.90375,77,0.94,48,0.93375,53
800,0.9075,74,0.94,48,0.92625,59
800,0.88375,93,0.94125,47,0.935,52
800,0.9175,66,0.93625,51,0.9325,54
800,0.87625,99,0.95875,33,0.925,60
800,0.89125,87,0.94125,47,0.9325,54
800,0.89375,85,0.94875,41,0.92125,63
800,0.89,88,0.95875,33,0.93375,53
800,0.905,76,0.94625,43,0.93625,51
800,0.89125,87,0.9375,50,0.935,52
